project_name,queue_position,proposed_online_date,current_online_date,fuel_types,delay_days
PUMA STORAGE,1933,2025-06-01 07:00:00,2030-11-18 08:00:00,Battery,1996
LOTUS SOLAR 2,1934,2024-12-01 08:00:00,2030-11-17 08:00:00,Battery/Solar,2177
ELYSIAN,1935,2024-11-01 07:00:00,2029-10-18 07:00:00,Solar/Battery,1812
WINGTIP SOLAR 1,1943,2027-06-01 07:00:00,2032-09-18 07:00:00,Solar/Battery,1936
DARDEN,1949,2026-12-31 08:00:00,2031-08-19 07:00:00,Battery/Solar,1691
AUSTRALIS,1952,2025-06-01 07:00:00,2031-04-18 07:00:00,Solar/Battery,2147
FLORES STORAGE,1953,2025-10-01 07:00:00,2031-02-18 08:00:00,Battery,1966
HUASO HYBRID,1954,2025-12-01 08:00:00,2026-12-03 08:00:00,Battery/Solar,367
CIERVO MOUNTAIN HYBRID,1955,2025-12-01 08:00:00,2029-08-03 07:00:00,Battery/Solar,1340
CLARKSON,1956,2025-06-01 07:00:00,2029-09-30 07:00:00,Battery/Solar,1582
SPIKES PEAK SOLAR,1958,2025-10-01 07:00:00,2029-10-18 07:00:00,Solar/Battery,1478
CORNUCOPIA HYBRID,1959,2025-06-16 07:00:00,2030-11-16 08:00:00,Battery/Solar,1979
LOCK STORAGE,1962,2025-11-30 08:00:00,2027-12-15 08:00:00,Battery,745
ALMANDE ENERGY STORAGE,1963,2025-06-01 07:00:00,2030-06-18 07:00:00,Battery,1843
ORLEANS,1966,2024-12-31 08:00:00,2029-08-03 07:00:00,Solar/Battery,1675
PLUM,1968,2024-12-10 08:00:00,2031-03-19 07:00:00,Solar/Battery,2289
BUTTERCUP HYBRID SOLAR,1970,2024-11-30 08:00:00,2032-03-04 08:00:00,Solar/Battery,2651
PEACEFUL HOLLOW BESS,1973,2024-06-01 07:00:00,2028-06-18 07:00:00,Battery,1478
TARRAGON HYBRID,1975,2025-06-01 07:00:00,2028-06-01 07:00:00,Solar/Battery,1096
VALETUDO ENERGY STORAGE,1977,2022-12-31 08:00:00,2028-11-01 07:00:00,Battery,2131
ARTEMIS,1980,2024-11-01 07:00:00,2029-10-18 07:00:00,Solar/Battery,1812
PHAENON,1983,2024-12-31 08:00:00,2029-07-18 07:00:00,Solar/Battery,1659
BUTTONBUSH SOLAR 2,1987,2028-04-01 07:00:00,2032-03-17 07:00:00,Solar/Battery,1446
EIGER ENERGY STORAGE,1994,2025-01-01 08:00:00,2032-02-16 08:00:00,Battery,2602
EVEREST ENERGY STORAGE,1995,2025-01-01 08:00:00,2030-10-18 07:00:00,Battery,2115
SERENA STORAGE,2001,2025-10-30 07:00:00,2029-09-18 07:00:00,Battery,1419
VALLEY SUNLIGHT REFINERY,2004,2025-06-10 07:00:00,2032-02-18 08:00:00,Solar/Battery,2444
CHERRY LANE HYBRID,2015,2025-06-01 07:00:00,2031-06-19 07:00:00,Battery/Solar,2209
ARIELLA SOLAR,2017,2023-12-31 08:00:00,2030-12-17 08:00:00,Solar/Battery,2543
HIDDEN KNOLLS BESS,2018,2024-06-01 07:00:00,2028-10-18 07:00:00,Battery,1600
SOCORRO PEAK SOLAR,2022,2025-10-01 07:00:00,2029-03-26 07:00:00,Solar/Battery,1272
JOVE SOLAR,2023,2024-12-31 08:00:00,2030-01-26 08:00:00,Solar/Battery,1852
RANEGRAS PVS,2025,2025-06-01 07:00:00,2029-07-26 07:00:00,Battery/Solar,1516
HARQUAHALA FLATS 2,2027,2025-11-30 08:00:00,2028-04-15 07:00:00,Battery/Solar,866
HARQUAHALA SUNRISE 2,2029,2024-11-01 07:00:00,2026-09-01 07:00:00,Solar/Battery,669
MARLEY,2031,2024-11-01 07:00:00,2032-06-26 07:00:00,Battery,2794
TROLLEY,2032,2024-06-30 07:00:00,2031-02-26 08:00:00,Battery,2432
CARMINE,2033,2024-11-01 07:00:00,2031-05-01 07:00:00,Battery,2372
HUB CITY ENERGY STORAGE,2034,2025-06-01 07:00:00,2031-01-01 08:00:00,Battery,2040
REDONDA,2036,2024-12-01 08:00:00,2031-01-01 08:00:00,Solar/Battery,2222
SARGASSO STORAGE,2037,2024-12-15 08:00:00,2032-05-26 07:00:00,Battery,2718
SANDRIFT STORAGE 1,2039,2023-12-31 08:00:00,2030-12-26 08:00:00,Battery,2552
SANDRIFT STORAGE 2,2041,2023-12-31 08:00:00,2031-03-01 08:00:00,Battery,2617
EASLEY,2042,2024-12-31 08:00:00,2028-03-06 08:00:00,Battery/Solar,1161
PICADOR ENERGY STORAGE,2043,2024-08-01 07:00:00,2032-05-26 07:00:00,Battery,2855
INVICTUS,2045,2025-12-15 08:00:00,2029-11-26 08:00:00,Battery/Solar,1442
TWIN PALMS SOLAR,2048,2025-10-30 07:00:00,2030-07-06 07:00:00,Battery/Solar,1710
ARDILLA,2049,2025-11-30 08:00:00,2032-04-26 07:00:00,Battery,2338
SALVADOR,2051,2025-12-15 08:00:00,2030-12-26 08:00:00,Solar/Battery,1837
BOUSE SOLAR AND STORAGE PLANT,2052,2026-02-05 08:00:00,2033-12-26 08:00:00,Solar/Battery,2881
EUISMOD,2055,2024-06-30 07:00:00,2028-06-01 07:00:00,Solar/Battery,1432
J90 ENERGY STORAGE,2059,2025-06-01 07:00:00,2033-06-01 07:00:00,Battery,2922
SAGEBRUSH ENERGY STORAGE,2060,2025-07-01 07:00:00,2033-02-26 08:00:00,Battery,2797
JUNIPER STORAGE,2061,2024-06-30 07:00:00,2033-02-26 08:00:00,Solar/Battery,3163
DORIAN STORAGE,2062,2025-10-01 07:00:00,2034-08-26 07:00:00,Battery,3251
ELION ENERGY STORAGE,2064,2024-08-01 07:00:00,2034-05-26 07:00:00,Battery,3585
DRIFTER ENERGY STORAGE,2066,2024-08-01 07:00:00,2033-03-26 07:00:00,Battery,3159
BOBOR STORAGE,2068,2025-12-15 08:00:00,2030-12-26 08:00:00,Battery,1837
SOLEIL CANTIL,2078,2024-06-01 07:00:00,2033-02-26 08:00:00,Solar/Battery,3192
MINERAL KING SOLAR,2081,2026-12-31 08:00:00,2029-09-26 07:00:00,Solar/Battery,999
ELECTRON,2082,2024-06-01 07:00:00,2033-01-26 08:00:00,Battery,3161
SOLSKEN,2085,2024-04-15 07:00:00,2033-02-26 08:00:00,Battery/Solar,3239
GREASEWOOD ENERGY STORAGE,2089,2025-06-01 07:00:00,2033-02-26 08:00:00,Battery,2827
GWENT STORAGE 2,2090,2023-12-15 08:00:00,2033-01-26 08:00:00,Battery,3330
MAATHAI,2091,2023-12-15 08:00:00,2033-01-26 08:00:00,Battery,3330
ROSA STORAGE,2092,2025-06-01 07:00:00,2034-06-27 07:00:00,Battery,3313
HIDALGO ENERGY STORAGE,2096,2024-06-01 07:00:00,2033-09-26 07:00:00,Battery,3404
SIENNA SOLAR 2,2097,2025-12-01 08:00:00,2029-03-26 07:00:00,Solar/Battery,1210
WESTON STORAGE,2101,2025-10-01 07:00:00,2031-03-26 07:00:00,Battery,2002
CADY SOLAR,2103,2025-11-30 08:00:00,2031-02-26 08:00:00,Solar/Battery,1914
DOS PALMAS,2104,2025-11-30 08:00:00,2031-04-26 07:00:00,Battery,1972
ADAGIO,2109,2024-06-30 07:00:00,2032-04-28 07:00:00,Battery,2859
FLEETWOOD,2111,2024-06-30 07:00:00,2032-04-28 07:00:00,Battery,2859
GABRIEL STORAGE,2113,2024-06-30 07:00:00,2033-05-15 07:00:00,Battery,3241
DIRAC,2114,2024-06-30 07:00:00,2031-02-26 08:00:00,Battery,2432
SIMON,2115,2024-06-30 07:00:00,2032-04-26 07:00:00,Battery,2857
MARICI,2116,2024-06-30 07:00:00,2031-02-26 08:00:00,Battery,2432
CORAL REEF,2117,2024-06-30 07:00:00,2032-04-26 07:00:00,Battery,2857
GREENWOOD ENERGY STORAGE,2121,2024-08-01 07:00:00,2032-05-26 07:00:00,Battery,2855
TABLA ENERGY STORAGE,2124,2024-08-01 07:00:00,2032-05-26 07:00:00,Battery,2855
TYRELL ENERGY STORAGE,2125,2024-08-01 07:00:00,2032-05-26 07:00:00,Battery,2855
LOS NIETOS,2129,2024-11-01 07:00:00,2031-04-26 07:00:00,Battery,2367
MERLIN STORAGE,2131,2023-06-01 07:00:00,2032-05-26 07:00:00,Battery,3282
HAVEN STORAGE,2136,2025-11-30 08:00:00,2031-02-26 08:00:00,Battery,1914
COMMERCE ENERGY STORAGE 3,2139,2025-06-01 07:00:00,2031-02-26 08:00:00,Battery,2096
STERLING,2140,2024-12-01 08:00:00,2031-05-26 07:00:00,Battery/Solar,2366
DELAMAR ENERGY STORAGE 2,2141,2025-06-01 07:00:00,2027-06-26 07:00:00,Battery,755
SILVER STAR SOLAR,2142,2028-03-31 07:00:00,2028-12-01 08:00:00,Battery/Solar,245
ROCK VALLEY ENERGY CENTER,2144,2025-11-30 08:00:00,2029-03-15 07:00:00,Battery/Solar,1200
DANDELION HYBRID SOLAR,2145,2024-11-30 08:00:00,2027-12-26 08:00:00,Solar/Battery,1121
WATER ROCK SOLAR 2,2146,2028-03-31 07:00:00,2028-12-01 08:00:00,Battery/Solar,245
KAWICH,2147,2025-06-01 07:00:00,2029-07-27 07:00:00,Solar/Battery,1517
MOSEY,2148,2025-06-01 07:00:00,2029-06-27 07:00:00,Battery/Solar,1487
SUNBAKED SOLAR,2149,2025-11-30 08:00:00,2029-02-26 08:00:00,Battery/Solar,1184
LARREA SOLAR,2150,2024-09-01 07:00:00,2028-09-15 07:00:00,Solar/Battery,1475
FRIGATEBIRD STORAGE,2153,2023-06-30 07:00:00,2035-03-05 08:00:00,Battery,4266
REMY,2154,2025-12-01 08:00:00,2029-06-30 07:00:00,Battery/Solar,1306
GNARLY OSAGE,2157,2024-06-30 07:00:00,2027-08-07 07:00:00,Battery,1133
ALISA SOLAR ENERGY COMPLEX,2161,2024-06-01 07:00:00,2028-06-01 07:00:00,Solar/Battery,1461
SOLAR DE MEXICALI,2162,2027-12-31 08:00:00,2030-03-16 07:00:00,Solar/Battery,805
UMBRIEL,2166,2026-12-31 08:00:00,2035-06-05 07:00:00,Battery/Solar,3077
HAMMERHEAD STORAGE,2167,2024-12-15 08:00:00,2030-05-05 07:00:00,Battery,1966
DESERT JEWEL STORAGE,2173,2025-10-30 07:00:00,2029-02-05 08:00:00,Battery,1194
YUHA DESERT BATTERY STORAGE,2176,2024-12-31 08:00:00,2031-11-05 08:00:00,Battery,2500
BOULDER BRUSH HYBRID,2177,2025-06-01 07:00:00,2031-02-05 08:00:00,Wind Turbine/Battery,2075
BELL BLUFF STORAGE,2178,2025-11-30 08:00:00,2035-03-05 08:00:00,Battery,3382
CARGO STORAGE,2180,2025-03-31 07:00:00,2036-05-05 07:00:00,Battery,4053
GATEWAY ENERGY STORAGE 2,2185,2024-06-01 07:00:00,2035-02-05 08:00:00,Battery,3901
SANDBAR ENERGY STORAGE,2186,2025-06-01 07:00:00,2030-02-05 08:00:00,Battery,1710
GERANIUM ENERGY STORAGE,2188,2023-12-31 08:00:00,2029-02-05 08:00:00,Battery,1863
PAJARO VALLEY STORAGE,2192,2024-09-01 07:00:00,2030-03-05 08:00:00,Battery,2011
